Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",Richard Maxwell,"=""0141439602""","=""9780141439600""",0,3.87,Penguin Books,Paperback,489,2003,1859,,2022/05/11,"to-read, historica","to-read (#22), historica (#3)",to-read,,,,0,0
8494151,Sé lo que estás pensando (Dave Gurney #1),John Verdon,"Verdon, John",Javier Guerrero,"=""8499181368""","=""9788499181363""",0,3.88,Roca Editorial,Paperback,430,2010,2010,,2022/05/10,"to-read, thriller","to-read (#21), thriller (#8)",to-read,,,,0,0
17837762,Uzumaki,Junji Ito,"Ito, Junji",,"=""1421561328""","=""9781421561325""",0,4.45,VIZ Media,Hardcover,653,2013,2000,,2022/05/10,"to-read, thriller","to-read (#17), thriller (#6)",to-read,,,,0,0
56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,"=""1982168439""","=""9781982168438""",0,4.26,Scribner,Hardcover,626,2021,2021,,2022/05/10,"to-read, historica","to-read (#18), historica (#2)",to-read,,,,0,0
44047222,"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,"Jackson, Holly",,"=""1984896407""","=""9781984896407""",0,4.30,Delacorte Press,Hardcover,401,2021,2020,,2022/05/10,"to-read, thriller","to-read (#20), thriller (#5)",to-read,,,,0,0
56898223,A History of Wild Places,Shea Ernshaw,"Ernshaw, Shea",,"=""1982164808""","=""9781982164805""",0,3.93,Atria Books,Hardcover,354,2021,2021,,2022/05/10,"to-read, thriller","to-read (#19), thriller (#7)",to-read,,,,0,0
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",0,4.01,"Little, Brown and Company",Hardcover,388,2019,2019,,2022/05/08,"to-read, desarrollo","to-read (#8), desarrollo (#5)",to-read,,,,0,0
56769585,"You Have More Influence Than You Think: How We Underestimate Our Power of Persuasion, and Why It Matters",Vanessa Bohns,"Bohns, Vanessa",,"=""1324005718""","=""9781324005711""",0,3.86,W. W. Norton & Company,Hardcover,256,2021,,,2022/05/08,"to-read, desarrollo","to-read (#10), desarrollo (#4)",to-read,,,,0,0
48904521,Social Chemistry: Decoding the Elements of Human Connection,Marissa King,"King, Marissa",,"=""1524743801""","=""9781524743802""",0,3.72,Dutton,Hardcover,368,2021,2021,,2022/05/08,"to-read, desarrollo","to-read (#11), desarrollo (#3)",to-read,,,,0,0
53138204,Subtract: The Untapped Science of Less,Leidy Klotz,"Klotz, Leidy",,"=""1250249864""","=""9781250249869""",0,3.46,Flatiron Books,Hardcover,304,2021,,,2022/05/08,"to-read, desarrollo","to-read (#12), desarrollo (#2)",to-read,,,,0,0
